,UniqueCarrier,rorg,rdes
0,Pinnacle Airlines Inc.,108758,144283
1,American Airlines Inc.,5660640,6348603
2,Aloha Airlines Inc.,27053,35517
3,Alaska Airlines Inc.,931511,1419182
4,JetBlue Airways,295195,306979
5,Continental Air Lines Inc.,2885846,3608468
6,Independence Air,215594,261794
7,Delta Air Lines Inc.,7643436,8405803
8,Eastern Air Lines Inc.,210665,425634
9,Atlantic Southeast Airlines,600943,700511
10,Frontier Airlines Inc.,121585,130685
11,AirTran Airways Corporation,401508,493953
12,Hawaiian Airlines Inc.,37433,54335
13,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1297552,1875072
14,Midway Airlines Inc. (1),16597,29531
15,American Eagle Airlines Inc.,1103970,1381935
16,Northwest Airlines Inc.,2992681,4286483
17,Comair Inc.,389455,564348
18,Skywest Airlines Inc.,905793,1109752
19,Pan American World Airways (1),73237,149805
20,Piedmont Aviation Inc.,558231,584091
21,Pacific Southwest Airlines,46500,47913
22,Trans World Airways LLC,1265673,1738764
23,ATA Airlines d/b/a ATA,56744,85122
24,United Air Lines Inc.,5642185,5946671
25,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6504932,6520763
26,Southwest Airlines Co.,5617655,6133857
27,Expressjet Airlines Inc.,656198,925346
28,Mesa Airlines Inc.,218184,287006
